index,val
2202,wind
2203,wind
2204,wind
2205,wind
2206,wind
2207,wind
2208,wind
2209,wind
2210,wind
2211,solar
2212,solar
2213,solar
2214,solar
2215,solar
2216,solar
2217,solar
2218,solar
2219,solar
2220,solar
2221,solar
2222,solar
2223,solar
2224,solar
2225,solar
2226,solar
2227,solar
2228,solar
2229,solar
2230,solar
2231,solar
2232,solar
2233,solar
2234,water
2235,water
2236,water
2237,solar
2238,solar
2239,solar
2240,solar
2241,solar
2242,solar
2243,solar
2244,solar
2245,solar
2246,wind
2247,wind
2248,wind
2249,wind
2250,wind
2251,wind
2252,wind
2253,wind
2254,wind
2255,wind
2256,wind
2257,wind
2258,wind
2259,solar
2260,solar
2261,solar
2262,solar
2263,solar
2264,wind
2265,wind
2266,wind
2267,wind
2268,wind
2269,wind
2270,wind
2271,wind
2272,wind
2273,wind
2274,wind
2275,wind
2276,wind
2277,wind
2278,wind
2279,solar
2280,wind
2281,wind
2282,wind
2283,wind
2284,wind
2285,wind
2286,wind
2287,wind
2288,wind
2289,wind
2290,wind
2291,wind
2292,wind
2293,wind
2294,wind
2295,wind
2296,wind
2297,wind
2298,wind
2299,wind
2300,wind
2301,wind
2302,wind
2303,solar
2304,solar
2305,solar
2306,solar
2307,solar
2308,solar
2309,solar
2310,solar
2311,solar
2312,solar
2313,solar
2314,solar
2315,solar
2316,solar
2317,solar
2318,solar
2319,solar
2320,solar
2321,solar
2322,solar
2323,solar
2324,solar
2325,solar
2326,solar
2327,water
2328,solar
2329,solar
2330,solar
2331,solar
2332,solar
2333,solar
2334,solar
2335,solar
2336,solar
2337,wind
2338,wind
2339,wind
2340,wind
2341,wind
2342,wind
2343,wind
2344,wind
2345,wind
2346,wind
2347,wind
2348,wind
2349,wind
2350,wind
2351,solar
2352,solar
2353,solar
2354,solar
2355,solar
2356,wind
2357,wind
2358,wind
2359,wind
2360,wind
2361,wind
2362,wind
2363,wind
2364,wind
2365,wind
2366,wind
2367,wind
2368,wind
2369,wind
2370,wind
2371,solar
2372,wind
2373,wind
2374,wind
2375,wind
2376,wind
2377,wind
2378,wind
2379,wind
2380,wind
2381,wind
2382,wind
2383,wind
2384,wind
2385,wind
2386,wind
2387,wind
2388,wind
2389,wind
2390,wind
2391,wind
2392,wind
2393,wind
2394,wind
2395,solar
2396,solar
2397,solar
2398,solar
2399,solar
2400,solar
2401,solar
2402,solar
2403,solar
2404,solar
2405,solar
2406,solar
2407,solar
2408,solar
2409,solar
2410,solar
2411,solar
2412,solar
2413,solar
2414,solar
2415,solar
2416,solar
2417,solar
2418,solar
2419,solar
2420,solar
2421,solar
2422,solar
2423,solar
2424,solar
2425,solar
2426,solar
2427,solar
2428,solar
2429,solar
